issue,date,red1,red2,red3
2014245,2014-09-10(三),00,06,08
2014246,2014-09-11(四),02,06,07
2014247,2014-09-12(五),01,04,07
2014248,2014-09-13(六),00,07,08
2014249,2014-09-14(日),01,02,08
2014250,2014-09-15(一),00,01,08
2014251,2014-09-16(二),02,04,04
2014252,2014-09-17(三),00,02,09
2014253,2014-09-18(四),02,08,09
2014254,2014-09-19(五),00,01,03
2014255,2014-09-20(六),03,05,09
2014256,2014-09-21(日),06,07,07
2014257,2014-09-22(一),01,04,09
2014258,2014-09-23(二),01,07,08
2014259,2014-09-24(三),01,05,05
2014260,2014-09-25(四),05,07,08
2014261,2014-09-26(五),08,08,09
2014262,2014-09-27(六),01,04,09
2014263,2014-09-28(日),00,03,04
2014264,2014-09-29(一),03,05,09
2014265,2014-09-30(二),00,02,05
2014266,2014-10-01(三),02,05,08
2014267,2014-10-02(四),01,02,06
2014268,2014-10-03(五),01,02,06
2014269,2014-10-04(六),02,04,09
2014270,2014-10-05(日),02,05,07
2014271,2014-10-06(一),02,03,09
2014272,2014-10-07(二),04,07,08
2014273,2014-10-08(三),00,03,07
2014274,2014-10-09(四),01,03,06
2014275,2014-10-10(五),07,08,09
2014276,2014-10-11(六),00,04,06
2014277,2014-10-12(日),06,06,09
2014278,2014-10-13(一),00,02,09
2014279,2014-10-14(二),00,06,06
2014280,2014-10-15(三),02,04,05
2014281,2014-10-16(四),03,03,09
2014282,2014-10-17(五),04,06,08
2014283,2014-10-18(六),00,01,05
2014284,2014-10-19(日),00,06,07
2014285,2014-10-20(一),01,03,09
2014286,2014-10-21(二),06,06,07
2014287,2014-10-22(三),03,07,08
2014288,2014-10-23(四),00,00,01
2014289,2014-10-24(五),04,05,07
2014290,2014-10-25(六),00,06,07
2014291,2014-10-26(日),00,03,07
2014292,2014-10-27(一),00,02,08
2014293,2014-10-28(二),00,01,08
2014294,2014-10-29(三),01,07,08
2014295,2014-10-30(四),02,08,09
2014296,2014-10-31(五),02,04,09
2014297,2014-11-01(六),01,01,06
2014298,2014-11-02(日),00,01,01
2014299,2014-11-03(一),05,05,07
2014300,2014-11-04(二),00,05,06
2014301,2014-11-05(三),01,02,03
2014302,2014-11-06(四),00,05,06
2014303,2014-11-07(五),04,09,09
2014304,2014-11-08(六),00,01,04
2014305,2014-11-09(日),04,04,07
2014306,2014-11-10(一),01,03,09
2014307,2014-11-11(二),02,04,06
2014308,2014-11-12(三),02,04,09
2014309,2014-11-13(四),01,04,06
2014310,2014-11-14(五),03,06,09
2014311,2014-11-15(六),02,06,09
2014312,2014-11-16(日),00,03,08
2014313,2014-11-17(一),01,02,09
2014314,2014-11-18(二),01,03,07
2014315,2014-11-19(三),01,02,03
2014316,2014-11-20(四),06,07,08
2014317,2014-11-21(五),00,01,04
2014318,2014-11-22(六),02,03,08
2014319,2014-11-23(日),04,07,07
2014320,2014-11-24(一),01,02,08
2014321,2014-11-25(二),04,07,09
2014322,2014-11-26(三),06,06,07
2014323,2014-11-27(四),04,05,09
2014324,2014-11-28(五),03,05,09
2014325,2014-11-29(六),02,08,08
2014326,2014-11-30(日),07,08,09
2014327,2014-12-01(一),00,08,08
2014328,2014-12-02(二),02,03,06
2014329,2014-12-03(三),05,07,08
2014330,2014-12-04(四),01,04,06
2014331,2014-12-05(五),02,07,08
2014332,2014-12-06(六),00,03,03
2014333,2014-12-07(日),03,04,07
2014334,2014-12-08(一),01,02,04
2014335,2014-12-09(二),00,04,07
2014336,2014-12-10(三),01,03,05
2014337,2014-12-11(四),06,06,08
2014338,2014-12-12(五),01,07,09
2014339,2014-12-13(六),04,06,09
2014340,2014-12-14(日),00,03,07
2014341,2014-12-15(一),03,07,07
2014342,2014-12-16(二),07,07,09
2014343,2014-12-17(三),01,04,06
2014344,2014-12-18(四),00,02,09
